;;;;;; ;;;;;;;;;;;;;;;;;;;;;
;;;;U;Z;;;A;;;;;Watt;;;;;;;;;;;;;;
;;Bauteil;Typ;"U-Wert
W/m²*K";"Wärme
brücken
Zuschlag
W/m²*K";"Länge 
m";"Höhe / Breite
m
";"Fläche
 m²";"Temp.
Raum
°C
";"Temp.
angr.
°C
";"fx
";"ΔT
K";"Heizlast
((U + Z) * A * fx *  ΔT)";;;;;;;;;;;;;;
Wohnung 9;6024 W;67,14 m²;;;;;;;;;;;;;;;;;;;;;;;;;
Luftwechsel;LW 0,50;Wand Flur WE 5;Wand massive Konstruktion Vollziegel verputzt 20 bis 30 cm;1,8;0;4,20;3,75;15,75;20;15;0,16;32;0142 W;;;;;;;;;;;;;;
Deckenhöhe;0,35m;Wand Flur;Rapitzwand;2,5;0;1,60;3,75;4,07;20;15;0,16;32;0051 W;;;;;;;;;;;;;;
;;Tür Zimmer 2;Türen Holzwerkstoff;2,9;0;0,90;2,15;1,94;20;15;0,16;32;0028 W;;;;;;;;;;;;;;
;;Fußboden;Geschossdecke Holzbalkenbauweise;1;0;;;24,14;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
;;Decke;Geschossdecke Holzbalkenbauweise;1;0;;;24,14;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;1063 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;V m³;cp;;;cp * (V * LW) * (RT - AT);;;;;;;;;;;;;;
Lüftungswärmeverlust W;;;;;;0,5;3,40;24,14;82,08;0,34;;;0446 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Summe Heizlast Zimmer 2;;;;;;;;;;;;;1509 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bad (Außenwand über Abstellraum), (+ Raumvolumen über Abstellraum);;;;;;;;;;;;;;;;;;;;;;;;;;;
Transmissionswärmeverlust W;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fläche ;03,44 m²;Wand Zimmer 1;Rapitzwand;2,5;0;2,50;3,75;9,38;24;20;0,11;36;0094 W;;;;;;;;;;;;;;
Raumhöhe;3,40 m;Wand Küche;Rapitzwand;2,5;0;2,50;3,75;9,38;24;20;0,11;36;0094 W;;;;;;;;;;;;;;
Raumtemperatur;RT 24 °C;Wand Abstelraum;Rapitzwand;2,5;0;1,50;2,00;3,00;24;15;0,25;36;0068 W;;;;;;;;;;;;;;
Temperaturdiffernz;;Wand Flur;Rapitzwand;2,5;0;1,50;3,75;4,37;24;15;0,25;36;0098 W;;;;;;;;;;;;;;
Luftwechsel;3,42;Tür Bad;Türen Holzwerkstoff;2,9;0;0,70;1,80;1,26;24;15;0,25;36;0033 W;;;;;;;;;;;;;;
Deckenhöhe;0,35m;Fußboden;Geschossdecke Holzbalkenbauweise;1;0;;;3,44;24;20;0,11;36;0014 W;;;;;;;;;;;;;;
;;Decke;Geschossdecke Holzbalkenbauweise;1;0;;;3,44;24;24;0,00;36;0000 W;;;;;;;;;;;;;;
über Abstellraum;;Außenwand;Wand massive Konstruktion Vollziegel verputzt größer 30 cm;1,5;0,1;1,5;1,25;1,40;24;-12;1,00;36;0081 W;;;;;;;;;;;;;;
;;Fenster;Fenster Kunststoff Zweifach Isolierverglasung;1,2;0,1;0,95;0,50;0,48;24;-12;1,00;36;0022 W;;;;;;;;;;;;;;
;;Wand Zimmer 1;Rapitzwand;2,5;0;1,7;1,25;2,13;24;20;0,11;36;0021 W;;;;;;;;;;;;;;
;;Wand Küche;Rapitzwand;2,5;0;1,9;1,25;2,38;24;20;0,11;36;0024 W;;;;;;;;;;;;;;
;;Boden;Decke Abstellraum;2,1;0;;;2,78;24;15;0,25;36;0053 W;;;;;;;;;;;;;;
;;Decke;Geschossdecke Holzbalkenbauweise;1;0;;;2,78;24;15;0,25;36;0025 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;0625 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;V m³;cp;;;cp * (V * LW) * (RT - AT);;;;;;;;;;;;;;
Lüftungswärmeverlust W;;;;;;3,42;3,40;3,44;11,70;0,34;;;0490 W;;;;;;;;;;;;;;
;;;;;;3,42;1,00;2,78;2,78;0,34;;;0116 W;;;;;;;;;;;;;;
;;;;;;;;;14,48;;;;;;;;;;;;;;;;;;
Summe Heizlast Bad;;;;;;;;;;;;;1231 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Küche;;;;;;;;;;;;;;;;;;;;;;;;;;;
Transmissionswärmeverlust W;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fläche ;13,35 m²;Außenwand;Wand massive Konstruktion Vollziegel verputzt größer 30 cm;1,5;0,1;3,55;3,75;11,51;20;-12;1,00;32;0589 W;;;;;;;;;;;;;;
Raumhöhe;3,40 m;Fenster;Fenster Kunststoff Zweifach Isolierverglasung;1,2;0,1;1,00;1,80;1,80;20;-12;1,00;32;0075 W;;;;;;;;;;;;;;
Raumtemperatur;RT 20 °C;Wand Zimmer 2 WE 3;Wand massive Konstruktion Vollziegel verputzt 20 bis 30 cm;1,8;0;4,50;3,75;16,88;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
Temperaturdiffernz;ΔT 32 K;Wand Bad;Rapitzwand;2,5;0;2,50;3,75;9,38;20;24;-0,13;32;-0094 W;;;;;;;;;;;;;;
Luftwechsel;LW 0,50;Wand Abstellraum;Rapitzwand;2,5;0;1,80;3,75;6,75;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
Deckenhöhe;0,35m;Wand Flur;Rapitzwand;2,5;0;1,70;3,75;4,44;20;15;0,16;32;0056 W;;;;;;;;;;;;;;
;;Tür Küche;Türen Holzwerkstoff;2,9;0;0,90;2,15;1,94;20;15;0,16;32;0028 W;;;;;;;;;;;;;;
;;Fußboden;Geschossdecke Holzbalkenbauweise;1;0;;;13,35;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
;;Decke;Geschossdecke Holzbalkenbauweise;1;0;;;13,35;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
über Abstellraum;;Wand zu Bad;Rapitzwand;2,5;0;1,80;1,00;1,80;20;24;-0,13;32;-0018 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;0636 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;V m³;cp;;;cp * (V * LW) * (RT - AT);;;;;;;;;;;;;;
Lüftungswärmeverlust W;;;;;;0,5;3,40;13,35;45,39;0,34;;;0247 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Summe Heizlast Küche;;;;;;;;;;;;;0883 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abstellraum (unbeheizt);;;;;;;;;;;;;;;;;;;;;;;;;;;
Transmissionswärmeverlust W;;Außenwand;Wand massive Konstruktion Vollziegel verputzt größer 30 cm;1,5;0,1;1,50;2,50;2,09;15;-12;1,00;27;0090 W;;;;;;;;;;;;;;
Fläche ;02,78 m²;Fenster;Fenster Kunststoff Zweifach Isolierverglasung;1,2;0,1;0,95;1,75;1,66;15;-12;1,00;27;0058 W;;;;;;;;;;;;;;
Raumhöhe;2,50 m;Wand Küche;Rapitzwand;2,5;0;1,80;2,00;2,34;15;20;-0,19;27;-0029 W;;;;;;;;;;;;;;
Raumtemperatur;RT 15 °C;Tür Abstellraum;Türen Holzwerkstoff;2,9;0;0,70;1,80;1,26;15;20;-0,19;27;-0018 W;;;;;;;;;;;;;;
