;Artikelnummer;Menge;Beschreibung 1;Beschreibung 2;Listenpreis;Nettowert;
ART;TEMPVK18;1,000;Temponox Verschlusskappe 18mm;nichtr. Stahl, Pressanschl.  nicht f. TW;13,8 €;6,21 €;
ART;TEMPVK22;1,000;Temponox Verschlusskappe 22mm;nichtr. Stahl, Pressanschl.  nicht f. TW;14,8 €;6,66 €;
ART;TEMPVK28;1,000;Temponox Verschlusskappe 28mm;nichtr. Stahl, Pressanschl.  nicht f. TW;21,6 €;9,72 €;
ART;TEMPVK35;1,000;Temponox Verschlusskappe 35mm;nichtr. Stahl, Pressanschl.  nicht f. TW;24,5 €;11,03 €;
ART;TEMPVK42;1,000;Temponox Verschlusskappe 42mm;nichtr. Stahl, Pressanschl.  nicht f. TW;47,8 €;21,51 €;
ART;TEMPVK54;1,000;Temponox Verschlusskappe 54mm;nichtr. Stahl, Pressanschl.  nicht f. TW;53,6 €;24,12 €;
ART;NK3R20;1,000;Resideo Strangreg.Vent. Kombi-3-Plus;Messing, Muffe, DN 20, blau;115 €;51,75 €;
ART;NK3V20;1,000;Resideo Strangabsperrventil Kombi-3-Plus;Messing, Muffe, DN 20, rot;72 €;32,40 €;
ART;NK3V25;1,000;Resideo Strangabsperrventil Kombi-3-Plus;Messing, Muffe, DN 25, rot;82 €;36,90 €;
ART;NK3R25;1,000;Resideo Strangreg.Vent. Kombi-3-Plus;Messing, Muffe, DN 25, blau;139 €;62,55 €;
ART;NK3R32;1,000;Resideo Strangreg.Vent. Kombi-3-Plus;Messing, Muffe, DN 32, blau;190 €;85,50 €;
ART;NK3V32;1,000;Resideo Strangabsperrventil Kombi-3-Plus;Messing, Muffe, DN 32, rot;131 €;58,95 €;
ART;NK3V40;1,000;Resideo Strangabsperrventil Kombi-3-Plus;Messing, Muffe, DN 40, rot;167 €;75,15 €;
ART;NK3R40;1,000;Resideo Strangreg.Vent. Kombi-3-Plus;Messing, Muffe, DN 40, blau;211 €;94,95 €;
ART;NK3R50;1,000;Resideo Strangreg.Vent. Kombi-3-Plus;Messing, Muffe, DN 50, blau;313 €;140,85 €;
ART;NK3V50;1,000;Resideo Strangabsperrventil Kombi-3-Plus;Messing, Muffe, DN 50, rot;233 €;104,85 €;
ART;HTVD215;1,000;Heimeier Ventilunterteil V-exact II;Durchgang vernickelt DN 15;37,1 €;17,90 €;
ART;HTVE215;1,000;Heimeier Ventilunterteil V-exact II;Eckform vernickelt DN 15;37,1 €;17,90 €;
ART;CTN;1,000;COSMO Thermostatkopf m.Nullstellung;f.Gewinde M30x1,5 Heimeier,MNG, ..;26,5 €;8,00 €;
ART;RVE15VH;1,000;Heimeier Radiator-Verschraubung Regulux;1/2" Eck vernickelt m.Entleerung;32,4 €;16,20 €;
ART;RVD15VH;1,000;Heimeier Radiator-Verschraubung Regulux;1/2" Durchgang vernickelt m.Entleerung;32,4 €;16,20 €;
